execution_id,combination,platform,kind,attempt,timestamp,environment_type,runner_version,outcome,duration_scenario_ms,duration_total_ms,failed_step,artifacts,notes
"MQ1-AND-MEASURED-01","MQ1 × Android emulator","android","MEASURED","1","2026-09-23T01:58:03.485Z","EMULATED","0.0.60","SUCCESS","45995","70427","","MQ1-AND-MEASURED-01/harness-precheck.json;MQ1-AND-MEASURED-01/terminal.png;MQ1-AND-MEASURED-01/view-tree-terminal.json;MQ1-AND-MEASURED-01/record.json;MQ1-AND-MEASURED-01/runner.log",""
"MQ2-AND-MEASURED-01","MQ2 × Android emulator","android","MEASURED","1","2026-09-23T01:59:16.421Z","EMULATED","0.0.60","SUCCESS","31745","99816","","MQ2-AND-MEASURED-01/harness-precheck.json;MQ2-AND-MEASURED-01/terminal.png;MQ2-AND-MEASURED-01/view-tree-terminal.json;MQ2-AND-MEASURED-01/record.json;MQ2-AND-MEASURED-01/runner.log",""
"MQ3-AND-MEASURED-01","MQ3 × Android emulator","android","MEASURED","1","2026-09-23T02:00:58.078Z","EMULATED","0.0.60","FAILURE","","122919","checkout screen visible (MC-06, MC-08)","MQ3-AND-MEASURED-01/harness-precheck.json;MQ3-AND-MEASURED-01/failure.png;MQ3-AND-MEASURED-01/view-tree-failure.json;MQ3-AND-MEASURED-01/device-log-failure.txt;MQ3-AND-MEASURED-01/record.json;MQ3-AND-MEASURED-01/runner.log","failed: ExpectError: Expected element to be visible, but it was not"
