===== activity-start intents (ActivityTaskManager / ActivityManager) =====
--------- beginning of system
09-22 16:37:09.867  2997  3780 I ActivityManager: Changes in 10399 19 to 8, 0 to 384
09-22 16:37:09.870  2997  4937 I ActivityManager: Changes in 10393 10 to 19, 384 to 0
09-22 16:37:09.876  2997  4937 I ActivityManager: Changes in 10267 10 to 19, 384 to 0
09-22 16:37:09.877  2997  4937 I ActivityManager: Changes in 5004 10 to 19, 384 to 0
09-22 16:37:09.922  2997  7903 I ActivityManager: Changes in 10399 10 to 19, 384 to 0
09-22 16:37:11.627  2997  3137 I ActivityManager: Changes in 10335 19 to 11, 0 to 384
09-22 16:37:11.649  2997  3780 I ActivityManager: Changes in 10335 11 to 19, 384 to 0
09-22 16:37:11.878  2997  3778 I ActivityManager: Changes in 10095 19 to 5, 0 to 440
09-22 16:37:12.021  2997  4999 I ActivityManager: Changes in 10116 19 to 5, 0 to 400
09-22 16:37:12.033  2997  4999 I ActivityManager: Changes in 10113 19 to 5, 0 to 400
09-22 16:37:12.042  2997  7903 I ActivityManager: Changes in 10336 19 to 5, 0 to 400
09-22 16:37:12.200  2997  5301 I ActivityManager: Changes in 10065 6 to 5, 384 to 400
09-22 16:37:12.898  2997  4999 I ActivityManager: Changes in 10093 10 to 19, 384 to 0
09-22 16:37:18.213  2997  3134 I ActivityManager: Changes in 10065 5 to 6, 400 to 384
09-22 16:37:18.366  2997  3134 I ActivityManager: Changes in 10336 5 to 15, 400 to 256
09-22 16:37:18.370  2997  3134 I ActivityManager: Changes in 10113 5 to 15, 400 to 256
09-22 16:37:18.386  2997  3134 I ActivityManager: Changes in 10116 5 to 15, 400 to 256
09-22 16:37:22.311  2997  7136 I ActivityManager: Changes in 10095 5 to 10, 440 to 384
09-22 16:37:22.313  2997  4999 I ActivityManager: Changes in 10095 10 to 19, 384 to 0
09-22 16:37:39.039  2997  3137 I ActivityManager: Changes in 10336 15 to 19, 256 to 0
09-22 16:37:39.040  2997  3137 I ActivityManager: Changes in 10116 15 to 19, 256 to 0
09-22 16:37:39.040  2997  3137 I ActivityManager: Changes in 10113 15 to 19, 256 to 0
09-22 16:47:17.698  2997  3137 I ActivityManager: Changes in 5023 19 to 11, 0 to 384
09-22 16:47:17.715  2997  5303 I ActivityManager: Changes in 5023 11 to 19, 384 to 0
09-22 16:47:48.401  2997 20320 I ActivityManager: Changes in 10102 19 to 5, 0 to 400
09-22 16:47:54.442  2997  3134 I ActivityManager: Changes in 10102 5 to 15, 400 to 256
09-22 16:47:55.810  2997  3861 I ActivityManager: Changes in 10078 19 to 10, 0 to 384
09-22 16:47:55.816  2997  3137 I ActivityManager: Changes in 10185 19 to 11, 0 to 384
09-22 16:47:55.827  2997  5189 I ActivityManager: Changes in 10078 10 to 10, 384 to 256
09-22 16:47:55.835  2997  3780 I ActivityManager: Changes in 10185 11 to 19, 384 to 0
09-22 16:47:55.846  2997  5189 I ActivityManager: Changes in 10078 10 to 10, 256 to 384
09-22 16:47:55.847  2997  3780 I ActivityManager: Changes in 10078 10 to 19, 384 to 0
09-22 16:47:55.947  2997  3796 I ActivityManager: Changes in 5004 19 to 8, 0 to 384
09-22 16:47:55.968  2997  5189 I ActivityManager: Changes in 5004 10 to 19, 384 to 0
09-22 16:48:14.442  2997  3137 I ActivityManager: Changes in 10102 15 to 19, 256 to 0
09-22 16:49:31.923  2997  3796 I ActivityManager: Changes in 10263 19 to 8, 0 to 384
09-22 16:49:31.967  2997  5301 I ActivityManager: Changes in 10263 10 to 19, 384 to 0
09-22 16:49:32.035  2997  3822 I ActivityManager: Changes in 10078 19 to 10, 0 to 384
09-22 16:49:32.042  2997  3780 I ActivityManager: Changes in 10078 10 to 10, 384 to 256
09-22 16:49:32.044  2997  3137 I ActivityManager: Changes in 10106 10 to 10, 0 to 384
09-22 16:49:32.053  2997  3780 I ActivityManager: Changes in 10106 10 to 10, 384 to 0
09-22 16:49:32.082  2997  3780 I ActivityManager: Changes in 10399 19 to 3, 0 to 440
09-22 16:49:32.084  2997  5189 I ActivityManager: Changes in 10078 10 to 10, 256 to 384
09-22 16:49:32.087  2997  7136 I ActivityManager: Changes in 10078 10 to 19, 384 to 0
09-22 16:49:47.162  2997  5189 I ActivityManager: Changes in 10399 3 to 10, 440 to 384
09-22 16:49:47.172  2997  5189 I ActivityManager: Changes in 10399 10 to 19, 384 to 0
09-22 16:50:21.372  2997  3137 I ActivityManager: Changes in 10268 19 to 11, 0 to 384
09-22 16:50:21.379  2997  5189 I ActivityManager: Changes in 10268 11 to 19, 384 to 0
09-22 16:50:24.549  2997  3796 I ActivityManager: Changes in 10393 19 to 8, 0 to 384
09-22 16:50:24.560  2997  3796 I ActivityManager: Changes in 10093 19 to 8, 0 to 384
09-22 16:50:24.570  2997  7913 I ActivityManager: Changes in 10393 10 to 19, 384 to 0
09-22 16:50:24.637  2997  7136 I ActivityManager: Changes in 10399 19 to 8, 0 to 384
09-22 16:50:24.869  2997  7136 I ActivityManager: Changes in 10399 8 to 3, 384 to 440
09-22 16:50:27.606  2997  4937 I ActivityManager: Changes in 10093 10 to 19, 384 to 0
09-22 16:50:39.884  2997  5303 I ActivityManager: Changes in 10399 3 to 10, 440 to 384
09-22 16:50:39.895  2997  4937 I ActivityManager: Changes in 10399 10 to 19, 384 to 0
09-22 16:53:28.836  2997  3137 I ActivityManager: Changes in 10095 19 to 11, 0 to 384
09-22 16:53:28.838  2997  5303 I ActivityManager: Changes in 10095 11 to 19, 384 to 0
09-22 16:53:28.854  2997  3796 I ActivityManager: Changes in 10268 19 to 8, 0 to 384
09-22 16:53:28.861  2997  3796 I ActivityManager: Changes in 10267 19 to 8, 0 to 384
09-22 16:53:28.891  2997  4937 I ActivityManager: Changes in 5004 19 to 8, 0 to 384
09-22 16:53:28.910  2997  5301 I ActivityManager: Changes in 10267 10 to 19, 384 to 0
09-22 16:53:28.922  2997  4937 I ActivityManager: Changes in 5004 10 to 19, 384 to 0
09-22 16:53:28.969  2997  5301 I ActivityManager: Changes in 10268 10 to 19, 384 to 0
09-22 16:55:37.690  2997  7913 I ActivityManager: Changes in 10399 19 to 10, 0 to 384
09-22 16:55:37.704  2997  7913 I ActivityManager: Changes in 10399 10 to 19, 384 to 128
09-22 16:55:47.634  2997  3796 I ActivityManager: Changes in 10399 19 to 19, 128 to 0
09-22 16:55:52.765  2997  4937 I ActivityManager: Changes in 10399 19 to 10, 0 to 384
09-22 16:55:52.775  2997  4937 I ActivityManager: Changes in 10399 10 to 19, 384 to 0
09-22 16:56:41.097  2997  3137 I ActivityManager: Changes in 10095 19 to 11, 0 to 384
09-22 16:56:41.105  2997  7131 I ActivityManager: Changes in 10095 11 to 19, 384 to 0
09-22 17:07:02.446  2997  3796 I ActivityManager: Changes in 10354 8 to 8, 256 to 384
09-22 17:07:02.460  2997  3796 I ActivityManager: Changes in 10393 19 to 8, 0 to 384
09-22 17:07:02.467  2997  3796 I ActivityManager: Changes in 10093 19 to 8, 0 to 384
09-22 17:07:02.478  2997  4952 I ActivityManager: Changes in 10393 10 to 19, 384 to 0
09-22 17:07:02.565  2997  4952 I ActivityManager: Changes in 10354 8 to 8, 384 to 256
09-22 17:07:05.507  2997  3779 I ActivityManager: Changes in 10093 10 to 19, 384 to 0
09-22 17:07:35.033  2997  3137 I ActivityManager: Changes in 10268 19 to 11, 0 to 384
09-22 17:07:35.042  2997  3779 I ActivityManager: Changes in 10268 11 to 19, 384 to 0
09-22 17:08:17.583  2997  3796 I ActivityManager: Changes in 5004 19 to 8, 0 to 384
09-22 17:08:17.597  2997  3779 I ActivityManager: Changes in 5004 10 to 19, 384 to 0
09-22 17:09:10.073  2997  3796 I ActivityManager: Changes in 10267 19 to 8, 0 to 384
09-22 17:09:10.108  2997  4999 I ActivityManager: Changes in 5004 19 to 8, 0 to 384
09-22 17:09:10.127  2997  7913 I ActivityManager: Changes in 10267 10 to 19, 384 to 0
09-22 17:09:10.142  2997  4999 I ActivityManager: Changes in 5004 10 to 19, 384 to 0
09-22 17:17:48.690  2997 20320 I ActivityManager: Changes in 10102 19 to 5, 0 to 400
09-22 17:17:54.729  2997  3134 I ActivityManager: Changes in 10102 5 to 15, 400 to 256
09-22 17:18:14.735  2997  3137 I ActivityManager: Changes in 10102 15 to 19, 256 to 0
09-22 17:18:18.194  2997  4952 I ActivityManager: Changes in 10399 19 to 8, 0 to 384
09-22 17:18:18.292  2997  4999 I ActivityManager: Changes in 10399 10 to 10, 384 to 256
09-22 17:18:18.297  2997  3060 I ActivityManager: Changes in 10399 10 to 19, 256 to 0
09-22 17:18:18.313  2997  4952 I ActivityManager: Changes in 10317 19 to 3, 0 to 440
09-22 17:18:18.332  2997  4952 I ActivityManager: Changes in 10399 19 to 8, 0 to 384
09-22 17:18:18.357  2997  5180 I ActivityManager: Changes in 10399 10 to 19, 384 to 0
09-22 17:19:37.658  2997  3137 I ActivityManager: Changes in 10106 10 to 10, 0 to 384
09-22 17:19:37.661  2997  5180 I ActivityManager: Changes in 10106 10 to 10, 384 to 0
09-22 17:19:37.668  2997  3796 I ActivityManager: Changes in 10093 19 to 8, 0 to 384
09-22 17:19:40.709  2997  3796 I ActivityManager: Changes in 10393 19 to 8, 0 to 384
09-22 17:19:40.715  2997  3063 I ActivityManager: Changes in 10093 10 to 19, 384 to 0
09-22 17:19:40.729  2997  5180 I ActivityManager: Changes in 10393 10 to 19, 384 to 0
09-22 17:25:39.901  2997  3137 I ActivityManager: Changes in 10268 19 to 11, 0 to 384
09-22 17:25:39.910  2997  7133 I ActivityManager: Changes in 10268 11 to 19, 384 to 0
09-22 17:26:00.097  2997  3137 I ActivityManager: Changes in 10095 19 to 11, 0 to 384
09-22 17:26:00.105  2997  5189 I ActivityManager: Changes in 10095 11 to 19, 384 to 0
09-22 17:26:00.115  2997  3796 I ActivityManager: Changes in 10179 19 to 8, 0 to 384
09-22 17:26:00.119  2997  3796 I ActivityManager: Changes in 5004 19 to 8, 0 to 384
09-22 17:26:00.122  2997  3796 I ActivityManager: Changes in 10267 19 to 8, 0 to 384
09-22 17:26:00.140  2997  7913 I ActivityManager: Changes in 5004 10 to 19, 384 to 0
09-22 17:26:00.155  2997  7913 I ActivityManager: Changes in 5004 19 to 8, 0 to 384
09-22 17:26:00.173  2997  7133 I ActivityManager: Changes in 10267 10 to 19, 384 to 0
09-22 17:26:00.179  2997  7133 I ActivityManager: Changes in 5004 10 to 19, 384 to 0
09-22 17:26:00.192  2997  5189 I ActivityManager: Changes in 10179 10 to 19, 384 to 0
09-22 17:26:52.618  2997  3796 I ActivityManager: Changes in 10399 19 to 8, 0 to 384
09-22 17:26:52.629  2997  7133 I ActivityManager: Changes in 10399 10 to 19, 384 to 0
09-22 17:27:47.971  2997  3796 I ActivityManager: Changes in 10346 19 to 8, 0 to 384
09-22 17:27:48.012  2997  5189 I ActivityManager: Changes in 10346 10 to 19, 384 to 0
09-22 17:28:35.202  2997  3137 I ActivityManager: Changes in 10095 19 to 11, 0 to 384
09-22 17:28:35.213  2997  7913 I ActivityManager: Changes in 10095 11 to 19, 384 to 0
09-22 17:35:48.460  2997  3796 I ActivityManager: Changes in 10093 19 to 8, 0 to 384
09-22 17:35:48.470  2997  3796 I ActivityManager: Changes in 10393 19 to 8, 0 to 384
09-22 17:35:48.491  2997  7133 I ActivityManager: Changes in 10393 10 to 19, 384 to 0
09-22 17:35:50.948  2997  3137 I ActivityManager: Changes in 10335 19 to 11, 0 to 384
09-22 17:35:50.964  2997  7128 I ActivityManager: Changes in 10335 11 to 19, 384 to 0
09-22 17:35:51.245  2997  7128 I ActivityManager: Changes in 10095 19 to 5, 0 to 440
09-22 17:35:51.375  2997  7128 I ActivityManager: Changes in 10116 19 to 5, 0 to 400
09-22 17:35:51.398  2997  7128 I ActivityManager: Changes in 10113 19 to 5, 0 to 400
09-22 17:35:51.424  2997  7128 I ActivityManager: Changes in 10336 19 to 5, 0 to 400
09-22 17:35:51.431  2997  3138 I ActivityManager: Start proc 24060:com.samsung.android.kmxservice:AiPrivacy/u0a88 for content provider {com.samsung.android.kmxservice/com.samsung.android.kmxservice.ai.privacy.AiPrivacyContentProvider}
09-22 17:35:51.466  2997  7128 I ActivityManager: Changes in 10088 20 to 19, 0 to 384
09-22 17:35:51.493  2997  5189 I ActivityManager: Changes in 10088 19 to 5, 384 to 400
09-22 17:35:51.495  2997  5189 I ActivityManager: Changes in 10093 10 to 19, 384 to 0
09-22 17:35:51.562  2997  3060 I ActivityManager: Changes in 10065 6 to 5, 384 to 400
09-22 17:35:57.498  2997  3134 I ActivityManager: Changes in 10088 5 to 15, 400 to 256
09-22 17:35:57.570  2997  3134 I ActivityManager: Changes in 10065 5 to 6, 400 to 384
09-22 17:35:57.730  2997  3134 I ActivityManager: Changes in 10336 5 to 15, 400 to 256
09-22 17:35:57.736  2997  3134 I ActivityManager: Changes in 10113 5 to 15, 400 to 256
09-22 17:35:57.748  2997  3134 I ActivityManager: Changes in 10116 5 to 15, 400 to 256
09-22 17:36:01.659  2997  5189 I ActivityManager: Changes in 10095 5 to 10, 440 to 384
09-22 17:36:01.664  2997  3060 I ActivityManager: Changes in 10095 10 to 19, 384 to 0
09-22 17:36:18.392  2997  3137 I ActivityManager: Changes in 10336 15 to 19, 256 to 0
09-22 17:36:18.392  2997  3137 I ActivityManager: Changes in 10116 15 to 19, 256 to 0
09-22 17:36:18.393  2997  3137 I ActivityManager: Changes in 10113 15 to 19, 256 to 0
09-22 17:36:18.393  2997  3137 I ActivityManager: Changes in 10088 15 to 19, 256 to 0
09-22 17:38:47.890  2997  3796 I ActivityManager: Changes in 5004 19 to 8, 0 to 384
09-22 17:38:47.910  2997  3060 I ActivityManager: Changes in 5004 10 to 19, 384 to 0
09-22 17:42:39.356  2997  3796 I ActivityManager: Changes in 10267 19 to 8, 0 to 384
09-22 17:42:39.381  2997  3060 I ActivityManager: Changes in 5004 19 to 8, 0 to 384
09-22 17:42:39.402  2997  5189 I ActivityManager: Changes in 10267 10 to 19, 384 to 0
09-22 17:42:39.424  2997  5189 I ActivityManager: Changes in 5004 10 to 19, 384 to 0
09-22 17:43:14.115  2997  3137 I ActivityManager: Changes in 10268 19 to 11, 0 to 384
09-22 17:43:14.125  2997  5189 I ActivityManager: Changes in 10268 11 to 19, 384 to 0
09-22 17:47:49.021  2997 20320 I ActivityManager: Changes in 10102 19 to 5, 0 to 400
09-22 17:47:55.052  2997  3134 I ActivityManager: Changes in 10102 5 to 15, 400 to 256
09-22 17:47:55.891  2997  3861 I ActivityManager: Changes in 10078 19 to 10, 0 to 384
09-22 17:47:55.896  2997  3137 I ActivityManager: Changes in 10185 19 to 11, 0 to 384
09-22 17:47:55.903  2997  4952 I ActivityManager: Changes in 10078 10 to 10, 384 to 256
09-22 17:47:55.906  2997  7128 I ActivityManager: Changes in 10185 11 to 19, 384 to 0
